tweet_id,sentiment,author,content
1956967341,empty,xoshayzers,'@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =['
1956967666,sadness,wannamama,'Layin n bed with a headache  ughhhh...waitin on your call...'
1956967789,enthusiasm,czareaquino,'wants to hang out with friends SOON!'
1956968416,neutral,xkilljoyx,'@dannycastillo We want to trade with someone who has Houston tickets, but no one will.'
1956968477,worry,xxxPEACHESxxx,'Re-pinging @ghostridah14: why didn\'t you go to prom? BC my bf didn\'t like my friends'
1956970860,surprise,okiepeanut93,'Got the news'
1956971170,love,poppygallico,'@annarosekerr agreed'
1956972097,fun,schiz0phren1c,'Wondering why I\'m awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore'
1956974706,hate,MavrickAces,'It is so annoying when she starts typing on her computer in the middle of the night!'
1956977084,happiness,ktierson,'mmm much better day... so far! it\'s still quite early. last day of #uds'
1956993007,boredom,villa_ld,'i\'m so tired'
1957001506,relief,benmfowler,'I\'m at work'
1957089935,anger,umi78,'Working   But it\'s Fridaaaayyyyy'
