,folder,filename,filepath,source,size,segmented,objectType,pose,truncated,difficult,bndbox,bndbox_img
0,Mercedes,1.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Benz\1.jpg,Unknown,"[256, 256, 3]",0,Mercedes,Unspecified,0,0,"[50, 0, 200, 180]","[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
1,Mercedes,10.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Benz\10.jpg,Unknown,"[256, 256, 3]",0,Mercedes,Unspecified,0,0,"[0, 90, 180, 240]","[[[239 239 239]
  [100 100 100]
  [253 253 253]
  ...
  [255 255 255]
  [254 254 254]
  [254 254 254]]

 [[224 224 224]
  [147 147 147]
  [253 253 253]
  ...
  [254 254 254]
  [253 253 253]
  [249 249 249]]

 [[213 213 213]
  [185 185 185]
  [251 251 251]
  ...
  [255 255 255]
  [248 248 248]
  [253 253 253]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
2,Mercedes,103.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Benz\103.jpg,Unknown,"[269, 187, 3]",0,Mercedes,Unspecified,0,0,"[60, 25, 190, 190]","[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
3,Mercedes,104.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Benz\104.jpg,Unknown,"[225, 225, 3]",0,Mercedes,Unspecified,0,0,"[0, 0, 220, 220]","[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
4,Mercedes,108.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Benz\108.jpg,Unknown,"[736, 736, 3]",0,Mercedes,Unspecified,0,0,"[160, 20, 660, 660]","[[[ 82  82  82]
  [ 82  82  82]
  [ 82  82  82]
  ...
  [ 82  82  82]
  [ 82  82  82]
  [ 82  82  82]]

 [[ 82  82  82]
  [ 82  82  82]
  [ 82  82  82]
  ...
  [ 82  82  82]
  [ 82  82  82]
  [ 82  82  82]]

 [[ 82  82  82]
  [ 82  82  82]
  [ 82  82  82]
  ...
  [ 82  82  82]
  [ 82  82  82]
  [ 82  82  82]]

 ...

 [[115 115 115]
  [115 115 115]
  [115 115 115]
  ...
  [115 115 115]
  [117 117 117]
  [116 116 116]]

 [[114 114 114]
  [114 114 114]
  [114 114 114]
  ...
  [115 115 115]
  [116 116 116]
  [115 115 115]]

 [[109 109 109]
  [110 110 110]
  [106 106 106]
  ...
  [114 114 114]
  [114 114 114]
  [114 114 114]]]"
5,Mercedes,11.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Benz\11.jpg,Unknown,"[256, 256, 3]",0,Mercedes,Unspecified,0,0,"[30, 30, 240, 240]","[[[30 33 36]
  [31 33 37]
  [33 36 39]
  ...
  [35 40 43]
  [35 39 42]
  [34 38 41]]

 [[31 34 37]
  [31 35 38]
  [32 36 39]
  ...
  [37 41 44]
  [37 41 44]
  [35 39 42]]

 [[32 35 38]
  [32 36 39]
  [34 38 41]
  ...
  [38 42 45]
  [38 42 45]
  [36 40 43]]

 ...

 [[53 58 62]
  [54 59 63]
  [55 60 64]
  ...
  [70 78 81]
  [71 79 82]
  [68 76 79]]

 [[53 58 62]
  [54 59 63]
  [55 60 64]
  ...
  [70 78 81]
  [70 78 81]
  [70 78 81]]

 [[53 58 62]
  [54 59 63]
  [55 60 64]
  ...
  [70 78 81]
  [70 78 81]
  [70 78 81]]]"
6,Mercedes,114.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Benz\114.jpg,Unknown,"[234, 215, 3]",0,Mercedes,Unspecified,0,0,"[30, 20, 220, 210]","[[[250 250 250]
  [241 241 241]
  [248 248 248]
  ...
  [247 247 247]
  [241 241 241]
  [247 247 247]]

 [[237 237 237]
  [253 253 253]
  [236 236 236]
  ...
  [234 234 234]
  [255 255 255]
  [239 239 239]]

 [[255 255 255]
  [236 236 236]
  [255 255 255]
  ...
  [254 254 254]
  [232 232 232]
  [251 251 251]]

 ...

 [[242 242 242]
  [253 253 253]
  [239 239 239]
  ...
  [244 244 244]
  [250 250 250]
  [243 243 243]]

 [[235 235 235]
  [253 253 253]
  [241 241 241]
  ...
  [239 239 239]
  [254 254 254]
  [237 237 237]]

 [[253 253 253]
  [238 238 238]
  [255 255 255]
  ...
  [254 254 254]
  [234 234 234]
  [253 253 253]]]"
7,Mercedes,12.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Benz\12.jpg,Unknown,"[256, 256, 3]",0,Mercedes,Unspecified,0,0,"[90, 50, 180, 160]","[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
8,Mercedes,121.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Benz\121.jpg,Unknown,"[1371, 1028, 3]",0,Mercedes,Unspecified,0,0,"[230, 190, 1100, 900]","[[[149 147 148]
  [148 146 147]
  [150 149 147]
  ...
  [153 152 150]
  [151 150 148]
  [151 150 148]]

 [[150 150 150]
  [151 150 151]
  [151 150 148]
  ...
  [149 148 146]
  [151 150 148]
  [151 150 148]]

 [[152 152 152]
  [151 150 149]
  [152 151 149]
  ...
  [151 150 148]
  [152 151 149]
  [150 149 147]]

 ...

 [[228 227 232]
  [227 227 232]
  [225 226 230]
  ...
  [224 224 226]
  [222 223 225]
  [224 225 227]]

 [[228 227 232]
  [228 229 233]
  [228 229 233]
  ...
  [223 223 225]
  [224 225 227]
  [222 223 225]]

 [[230 229 234]
  [228 229 233]
  [228 229 233]
  ...
  [226 226 228]
  [225 226 228]
  [222 223 225]]]"
9,Mercedes,122.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Benz\122.jpg,Unknown,"[1280, 900, 3]",0,Mercedes,Unspecified,0,0,"[250, 100, 1000, 800]","[[[  0   0   0]
  [  1   1   1]
  [  4   4   4]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[  2  10   7]
  [ 40  76  80]
  [103 145 162]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[103 140 161]
  [128 161 184]
  [130 160 186]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[165 168 175]
  [165 168 177]
  [165 168 177]
  ...
  [255 255 255]
  [253 255 255]
  [246 253 254]]

 [[167 172 178]
  [166 169 178]
  [165 168 173]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[166 169 176]
  [166 169 176]
  [166 169 176]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 253]]]"
