,folder,filename,filepath,source,size,segmented,objectType,pose,truncated,difficult,bndbox,bndbox_img
0,toyota,1.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Toyota\1.jpg,Unknown,"[503, 394, 3]",0,toyota,Unspecified,0,0,"[17, 50, 497, 250]","[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
1,toyota,10.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Toyota\10.jpg,Unknown,"[514, 370, 3]",0,toyota,Unspecified,0,0,"[85, 100, 200, 170]","[[[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]

 [[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]

 [[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]

 ...

 [[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]

 [[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]

 [[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]]"
2,toyota,100.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Toyota\100.jpg,Unknown,"[395, 516, 3]",0,toyota,Unspecified,1,0,"[3, 200, 150, 290]","[[[245 245 245]
  [245 245 245]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]

 [[245 245 245]
  [246 246 246]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]

 [[245 245 245]
  [247 247 247]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]

 ...

 [[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]

 [[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]

 [[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]]"
3,toyota,101.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Toyota\101.jpg,Unknown,"[350, 491, 3]",0,toyota,Unspecified,0,0,"[52, 119, 310, 371]","[[[236  10  30]
  [236  10  30]
  [236  10  30]
  ...
  [236  10  30]
  [236  10  30]
  [236  10  30]]

 [[236  10  30]
  [236  10  30]
  [236  10  30]
  ...
  [236  10  30]
  [236  10  30]
  [236  10  30]]

 [[236  10  30]
  [236  10  30]
  [236  10  30]
  ...
  [236  10  30]
  [236  10  30]
  [236  10  30]]

 ...

 [[236  10  30]
  [236  10  30]
  [236  10  30]
  ...
  [236  10  30]
  [236  10  30]
  [236  10  30]]

 [[236  10  30]
  [236  10  30]
  [236  10  30]
  ...
  [236  10  30]
  [236  10  30]
  [236  10  30]]

 [[236  10  30]
  [236  10  30]
  [236  10  30]
  ...
  [236  10  30]
  [236  10  30]
  [236  10  30]]]"
4,toyota,102.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Toyota\102.jpg,Unknown,"[494, 386, 3]",0,toyota,Unspecified,0,0,"[80, 32, 420, 201]","[[[192 192 192]
  [193 193 193]
  [193 193 193]
  ...
  [193 193 193]
  [193 193 193]
  [193 193 193]]

 [[192 192 192]
  [193 193 193]
  [193 193 193]
  ...
  [193 193 193]
  [193 193 193]
  [193 193 193]]

 [[192 192 192]
  [192 192 192]
  [194 194 194]
  ...
  [193 193 193]
  [192 192 192]
  [193 193 193]]

 ...

 [[176 176 176]
  [166 166 166]
  [175 175 175]
  ...
  [191 191 191]
  [175 175 175]
  [178 178 178]]

 [[194 194 194]
  [192 192 192]
  [193 193 193]
  ...
  [191 191 191]
  [196 196 196]
  [197 197 197]]

 [[193 193 193]
  [192 192 192]
  [195 195 195]
  ...
  [196 196 196]
  [192 192 192]
  [194 194 194]]]"
5,toyota,103.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Toyota\103.jpg,Unknown,"[492, 375, 3]",0,toyota,Unspecified,0,0,"[100, 10, 400, 250]","[[[210 210 212]
  [208 208 210]
  [210 210 212]
  ...
  [219 219 221]
  [221 221 223]
  [221 221 223]]

 [[210 210 212]
  [209 209 211]
  [210 210 212]
  ...
  [222 222 224]
  [222 222 224]
  [222 222 224]]

 [[210 210 212]
  [211 211 213]
  [210 210 212]
  ...
  [224 224 226]
  [224 224 226]
  [224 224 226]]

 ...

 [[223 223 225]
  [225 225 227]
  [225 225 225]
  ...
  [226 224 225]
  [226 224 225]
  [226 224 225]]

 [[223 225 224]
  [227 223 221]
  [225 224 225]
  ...
  [229 223 225]
  [227 224 225]
  [225 225 225]]

 [[220 229 228]
  [222 225 224]
  [224 226 225]
  ...
  [229 223 225]
  [227 224 225]
  [225 225 225]]]"
6,toyota,104.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Toyota\104.jpg,Unknown,"[501, 383, 3]",0,toyota,Unspecified,0,0,"[16, 17, 500, 371]","[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
7,toyota,105.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Toyota\105.jpg,Unknown,"[497, 355, 3]",0,toyota,Unspecified,0,0,"[20, 80, 196, 210]","[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [248 255 253]
  [255 249 255]
  [255 255 255]]]"
8,toyota,106.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Toyota\106.jpg,Unknown,"[504, 367, 3]",0,toyota,Unspecified,0,0,"[180, 28, 344, 174]","[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[241 254 252]
  [241 251 249]
  [246 252 249]
  ...
  [250 255 255]
  [251 252 251]
  [254 254 254]]

 [[245 255 255]
  [248 255 255]
  [251 255 254]
  ...
  [247 255 253]
  [248 253 251]
  [252 255 254]]

 [[251 248 255]
  [254 252 255]
  [254 254 255]
  ...
  [243 254 250]
  [246 255 252]
  [252 255 255]]]"
9,toyota,110.jpg,G:\Users\Alex\Desktop\Classes\CSE 498 - Computer Vision\Project\Outdated Dataset\Dataset\Toyota\110.jpg,Unknown,"[483, 363, 3]",0,toyota,Unspecified,0,0,"[110, 101, 219, 222]","[[[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]

 [[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]

 [[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]

 ...

 [[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]

 [[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]

 [[246 246 246]
  [246 246 246]
  [246 246 246]
  ...
  [246 246 246]
  [246 246 246]
  [246 246 246]]]"
