,filename,bndbox_img,objectType,label
0,<xml.etree.ElementTree.ElementTree object at 0x000001A62142D880>,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",Mercedes,1
1,<xml.etree.ElementTree.ElementTree object at 0x000001A62142D5E0>,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",Mercedes,1
2,<xml.etree.ElementTree.ElementTree object at 0x000001A61FC8F370>,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",Mercedes,1
3,<xml.etree.ElementTree.ElementTree object at 0x000001A6203DF370>,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",Mercedes,1
4,<xml.etree.ElementTree.ElementTree object at 0x000001A61FCB9FD0>,"[[0.32156863 0.32156863 0.32156863 ... 0.32156863 0.32156863 0.32156863]
 [0.32156863 0.32156863 0.32156863 ... 0.32156863 0.32156863 0.32156863]
 [0.32156863 0.32156863 0.32156863 ... 0.32156863 0.32156863 0.32156863]
 ...
 [0.43234044 0.43137255 0.42745098 ... 0.44705882 0.44705882 0.44705882]
 [0.43137255 0.42804622 0.42745098 ... 0.44789916 0.44705882 0.44705882]
 [0.43137255 0.42804622 0.42745098 ... 0.44705882 0.44705882 0.44705882]]",Mercedes,1
5,<xml.etree.ElementTree.ElementTree object at 0x000001A61FB401F0>,"[[0.12578784 0.12578784 0.12578784 ... 0.14653451 0.14653451 0.14653451]
 [0.12578784 0.12578784 0.12578784 ... 0.14653451 0.14653451 0.14653451]
 [0.12909667 0.12909667 0.12711559 ... 0.14653451 0.14653451 0.14653451]
 ...
 [0.22244314 0.22244314 0.22410714 ... 0.30006392 0.30006392 0.30006392]
 [0.22244314 0.22244314 0.22410714 ... 0.30006392 0.30006392 0.30006392]
 [0.22244314 0.22244314 0.22410714 ... 0.30006392 0.30006392 0.30006392]]",Mercedes,1
6,<xml.etree.ElementTree.ElementTree object at 0x000001A61FB40A00>,"[[0.95686275 0.97331933 0.97359944 ... 0.97570028 0.98242297 0.97254902]
 [0.94040616 0.95686275 0.97160114 ... 0.97346689 0.95397659 0.93305322]
 [0.92864146 0.94268833 0.96814226 ... 0.96498975 0.9346351  0.9140056 ]
 ...
 [0.99110644 0.97929297 0.95749675 ... 0.99243823 0.9956295  0.97829132]
 [0.98823529 0.99758028 0.97445228 ... 0.9862495  0.99333233 0.97570028]
 [0.98823529 0.99481793 0.97598039 ... 0.97990196 0.9987395  0.99215686]]",Mercedes,1
7,<xml.etree.ElementTree.ElementTree object at 0x000001A61E889D90>,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",Mercedes,1
8,<xml.etree.ElementTree.ElementTree object at 0x000001A61E41ABE0>,"[[0.58408867 0.58300683 0.59011491 ... 0.58741747 0.56786238 0.58270136]
 [0.59585361 0.5794179  0.59307406 ... 0.58537009 0.58488661 0.58913675]
 [0.57722882 0.58234157 0.57696692 ... 0.58850314 0.58811798 0.58950127]
 ...
 [0.89222692 0.89974426 0.89774022 ... 0.8595174  0.8828211  0.89052347]
 [0.89475465 0.8970374  0.90050539 ... 0.86455319 0.88325934 0.88622209]
 [0.8961871  0.88397585 0.89337298 ... 0.87790069 0.88322641 0.8820851 ]]",Mercedes,1
9,<xml.etree.ElementTree.ElementTree object at 0x000001A623B99670>,"[[0.         0.         0.         ... 1.         1.         1.        ]
 [0.         0.         0.         ... 1.         1.         1.        ]
 [0.         0.         0.         ... 1.         1.         1.        ]
 ...
 [0.66761647 0.66492039 0.66329115 ... 0.99989307 0.99615304 0.99511579]
 [0.67006745 0.66649712 0.66158421 ... 0.99657241 0.99714369 0.99341518]
 [0.67374392 0.66590078 0.66273202 ... 0.9955655  0.98502566 0.96709984]]",Mercedes,1
